# 320x240 source into 1024x768 output, 16.6667 ms budget
# renderer	PowerVR Rogue GE8300
# version	OpenGL ES 3.2 build 1.19@6345021
# method	slope of wall clock over two batch sizes, each sized to about 20 ms of work, median of 11 interleaved passes after 5 discarded
# sensors	cpu 47731 mC, gpu 48267 mC, cpu clock 600000 kHz
# ms is one whole frame: every pass plus the final blit.
# frag_ms is the fragment shaders alone, with the render passes around them removed.
pipeline	passes	ms	iqr_pct	budget_pct	relative_pct	frag_ms
pixellate	1	12.2682	0.2	73.6	100.0	11.0504
pixellate -> lcd3x	2	15.2036	0.2	91.2	80.7	14.0717
pixel-perfect	1	6.7424	0.4	40.5	182.0	5.2625
crt-perfect	1	15.9089	0.4	95.5	77.1	14.7233
lcd-perfect	1	14.9869	0.1	89.9	81.9	13.6528
dmg-perfect	1	14.5903	0.2	87.5	84.1	13.4696
sharp-shimmerless	1	3.8381	0.6	23.0	319.6	2.1317
shimmerless -> lcd1x	2	6.3202	0.7	37.9	194.1	4.5836
shimmerless -> lcd3x	2	6.8198	4.0	40.9	179.9	5.1332
shimmerless -> scanlines	2	5.7394	1.0	34.4	213.8	3.6426
shimmerless -> adjust	2	14.4188	0.4	86.5	85.1	13.0857
shimmerless -> lcd1x -> adjust	3	16.7415	0.2	100.4	73.3	15.5217
image-adjustment	1	12.0256	0.3	72.2	102.0	10.9672
barrel-distortion	1	4.3778	0.7	26.3	280.2	2.5619
dmg_dot_matrix	1	5.1710	0.5	31.0	237.2	3.4874
dmg_dot_matrix -> adjust	2	15.7038	0.7	94.2	78.1	14.4558
crt-perfect-v12	1	16.2000	0.2	97.2	75.7	15.1898
lcd-perfect-v8	1	15.7330	0.2	94.4	78.0	14.5347
lcd-perfect-v9a	1	15.2412	0.9	91.4	80.5	13.9570
lcd-perfect-v9b	1	14.8108	0.2	88.9	82.8	13.5809
lcd-perfect-v9c	1	14.0918	0.1	84.6	87.1	12.8024
pixel-turbo-v1	1	4.4462	1.4	26.7	275.9	2.7376
pixel-turbo-v2	1	4.6549	0.7	27.9	263.6	2.8889
pixel-turbo-v3	1	4.5112	0.5	27.1	271.9	2.7471
dmg-turbo-v1	1	8.4259	0.4	50.6	145.6	6.8472
dmg-turbo-v2	1	8.3899	0.2	50.3	146.2	6.8439
dmg-turbo-v3	1	8.3711	0.3	50.2	146.6	6.8432
lcd-turbo-v1	1	12.7570	0.0	76.5	96.2	11.3531
lcd-turbo-v2	1	13.8592	0.4	83.2	88.5	12.5315
lcd-turbo-v3	1	12.5700	0.2	75.4	97.6	11.2065
crt-turbo-v1	1	9.2626	0.2	55.6	132.4	7.6826
crt-turbo-v2	1	14.3094	0.2	85.9	85.7	13.0557
crt-turbo-v4a	1	12.6061	0.4	75.6	97.3	11.2656
crt-turbo-v4b	1	12.0584	0.6	72.3	101.7	10.6667
crt-turbo-v3	1	13.0338	0.2	78.2	94.1	11.7145
colour-mini-v2	1	3.0745	1.3	18.4	399.0	1.2466
colour-mini-v3	1	3.1080	1.3	18.6	394.7	1.0844
dmg-mini-v2	1	7.4178	0.3	44.5	165.4	5.7409
dmg-mini-v3	1	7.3401	0.3	44.0	167.1	5.7319
lcd-mini-v2	1	9.8322	0.6	59.0	124.8	8.3157
lcd-mini-v3	1	8.5912	0.2	51.5	142.8	6.9500
crt-mini-v2	1	12.2994	0.2	73.8	99.7	10.9527
crt-mini-v4	1	10.5764	0.2	63.5	116.0	9.1731
crt-mini-v3	1	11.0178	0.3	66.1	111.3	9.6135
pixel-turbo -> colour-mini	2	6.3154	1.5	37.9	194.3	3.7808
pixel-turbo -> dmg-mini	2	10.1277	0.5	60.8	121.1	8.4585
pixel-turbo -> lcd-mini	2	11.2540	0.2	67.5	109.0	9.7025
pixel-turbo -> crt-mini	2	13.6481	0.1	81.9	89.9	12.3566
shimmerless -> lcd-mini	2	10.5651	0.3	63.4	116.1	9.1063
colour-mini -> pixel-turbo	2	4.6431	1.6	27.9	264.2	2.8637
colour-mini -> pixel-turbo -> lcd-mini	3	11.6803	0.3	70.1	105.0	9.8020
pixel-perfect all-on	1	8.9353	0.4	53.6	137.3	7.6258
crt-perfect all-on	1	19.8515	0.1	119.1	61.8	18.9363
lcd-perfect all-on	1	16.4705	0.9	98.8	74.5	15.2986
dmg-perfect all-on	1	20.6187	0.1	123.7	59.5	19.8835
pixel-turbo-v3 all-on	1	6.6601	0.3	40.0	184.2	5.1256
crt-turbo-v4a all-on	1	15.7856	0.1	94.7	77.7	14.6055
lcd-turbo-v3 all-on	1	14.0954	0.2	84.6	87.0	12.8201
dmg-turbo-v3 all-on	1	12.4983	0.2	75.0	98.2	11.1949
colour-mini-v3 all-on	1	5.1078	0.4	30.6	240.2	3.4736
crt-mini-v4 all-on	1	13.5936	0.1	81.6	90.2	12.3042
lcd-mini-v3 all-on	1	10.1170	1.6	60.7	121.3	8.5965
dmg-mini-v3 all-on	1	11.5027	0.2	69.0	106.7	10.1501
crtprobe-nowarp	1	10.5792	0.2	63.5	116.0	9.0427
crtprobe-both	1	10.0080	0.3	60.0	122.6	8.4438
dmg-turboprobe-noshadow	1	8.2949	0.6	49.8	147.9	6.7980
dmg-miniprobe-noshadow	1	7.1686	0.4	43.0	171.1	5.5808
